Poll Book Totals,391,92,716,336,63,621,195,23,162,19,142,43,297,249,577,66,559,37,252,22,423,50,155,157,24,447,46,,6164,,,,
Grand Traverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Senator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote for 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hill Harper - D,13,0,33,18,1,39,6,0,6,2,12,3,7,24,21,3,30,3,12,1,15,2,6,7,2,27,4,,297,,,,
Elissa Slotkin - D,95,32,340,108,28,294,81,3,20,3,54,16,149,107,191,26,160,12,78,2,211,31,58,48,11,241,25,,2424,,,,
Justin Amash - R,35,6,26,16,6,17,5,4,15,2,8,2,7,7,36,0,37,5,11,2,14,2,7,13,1,25,2,,311,,,,
Sherry O'Donnell - R,67,7,40,33,2,31,20,2,6,3,15,4,15,13,47,7,49,1,39,3,22,5,12,10,0,21,0,,474,,,,
Sandy Pensier - R,11,5,40,14,3,30,5,2,6,0,3,2,17,14,15,1,22,1,15,3,21,1,5,6,1,23,1,,267,,,,
Mike Rogers - R,145,38,131,112,18,129,47,10,69,6,35,13,44,54,193,24,202,10,73,6,99,6,35,56,5,79,9,,1648,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rep In Congress - 1st District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote for 1 City of Frankfort ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callie Barr - D,67,22,210,78,20,179,49,2,18,2,33,15,82,79,105,18,123,8,44,1,129,15,31,32,7,139,17,,1525,,,,
Bob Lorinser - D,40,10,161,49,9,152,35,1,8,3,31,4,75,50,107,10,60,7,43,2,90,17,33,23,6,124,11,,1161,,,,
Jack Bergman - R,200,52,196,151,26,188,58,16,86,9,57,20,67,86,261,25,269,13,119,13,137,10,63,76,6,118,11,,2333,,,,
"Josh Saul - RWeldon ED",66,5,59,34,4,31,25,4,22,4,12,3,17,7,51,6,60,6,29,5,27,5,9,13,3,37,2,,546,,,,
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
Rep in State LegislatPularett e--  E1D03rd District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote for 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betsy Coffia - D,103,32,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,61,0,0,0,0,,573,,,,
Tripp Garcia - R,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,28,,,,
Katie Kniss - R,140,24,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,,291,,,,
Lisa Trombley - RLake ED,116,30,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,,321,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rep in State Legislature -- 104th District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote for 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Knight - D,0,0,0,116,18,287,78,3,22,5,57,19,142,116,193,19,169,14,79,3,202,23,0,50,13,230,23,,1881,,,,
Joyfield EDJohn R. Roth - R,0,0,0,140,22,185,61,16,88,13,56,19,75,69,251,23,269,14,129,13,133,7,0,82,7,125,12,,1809,,,,
Owen J. Suhy - R,0,0,0,31,6,24,18,2,20,1,7,2,8,17,45,6,50,4,11,2,22,6,0,8,1,23,1,,315,,,,
